date,symbole,interval,rv,bv,part_saut
2026-06-08,SAN.PA,5m,0.0001445934952,0.0001199382939,0.1705
2026-06-08,SAP.DE,5m,0.0002871913999,0.0002679230244,0.0671
2026-06-08,SI=F,5m,0.001221533184,0.00114719745,0.0609
2026-06-08,SIE.DE,5m,0.0001831603532,0.0001658638167,0.0944
2026-06-08,SOLUSDT,5m,0.001527364531,0.001432272516,0.0623
2026-06-08,TSLA,5m,0.0003116806732,0.0002551378204,0.1814
2026-06-08,TTE.PA,5m,0.0001543070575,0.000140939931,0.0866
2026-06-08,UNH,5m,0.0003182134155,0.0003050614988,0.0413
2026-06-08,USDCAD=X,5m,8.046015807e-06,7.931606446e-06,0.0142
2026-06-08,USDCHF=X,5m,1.85455688e-05,1.697497437e-05,0.0847
2026-06-08,USDJPY=X,5m,4.776896121e-06,4.76111508e-06,0.0033
2026-06-08,V,5m,7.531653762e-05,7.4841994e-05,0.0063
2026-06-08,XOM,5m,0.000143419003,0.0001102386984,0.2314
2026-06-08,XRPUSDT,5m,0.001453048001,0.001422991125,0.0207
2026-06-08,ZW=F,5m,0.0003619045608,0.0003363451436,0.0706
2026-06-08,^FCHI,5m,6.14751834e-05,6.214072283e-05,0
2026-06-08,^GDAXI,5m,5.905748793e-05,4.82724248e-05,0.1826
2026-06-08,^GSPC,5m,5.673918193e-05,5.123257379e-05,0.0971
2026-06-08,^HSI,5m,7.477281651e-05,7.232237444e-05,0.0328
2026-06-08,^KS11,5m,0.002603596515,0.002980242525,0
2026-06-08,^N225,5m,0.0005407044079,0.0002962593144,0.4521
2026-06-08,^NDX,5m,0.0001366518286,0.0001165210615,0.1473
2026-06-08,^STOXX50E,5m,7.077936459e-05,6.769963814e-05,0.0435
2026-06-09,005930.KS,5m,0.00146539438,0.001277238284,0.1284
2026-06-09,0700.HK,5m,0.0009052332753,0.0005271881834,0.4176
2026-06-09,2330.TW,5m,0.0001221999147,9.602334259e-05,0.2142
2026-06-09,6758.T,5m,0.0001815065157,0.0001654911519,0.0882
2026-06-09,7203.T,5m,7.44925459e-05,7.451517839e-05,0
2026-06-09,9984.T,5m,0.002101392686,0.001266551919,0.3973
2026-06-09,9988.HK,5m,0.000353607481,0.0003436822439,0.0281
2026-06-09,AAPL,5m,0.0003949464545,0.0003731609426,0.0552
2026-06-09,AIR.PA,5m,0.0005340811384,0.0005676395647,0
2026-06-09,AMZN,5m,0.0003696892375,0.0003328017238,0.0998
2026-06-09,ASML.AS,5m,0.001299582041,0.001198194923,0.078
